constituency_code,constituency_name,does_not_apply,agriculture_energy_and_water,manufacturing,construction,distribution_hotels_and_restaurants,transport_and_communication,financial_real_estate_professional_and_administrative_activities,administration_education_and_health,other,constituency_total_population
E14001063,Aldershot,55260,940,3292,5263,11861,7264,10659,20298,2594,117431
E14001064,Aldridge-Brownhills,50431,850,4653,4862,8414,3524,5804,13284,1785,93607
E14001065,Altrincham and Sale West,53189,667,2458,3082,7719,4909,11834,14955,2111,100924
E14001066,Amber Valley,47482,911,6591,4900,8818,3409,4732,11706,1770,90319
E14001067,Arundel and South Downs,52642,1505,2725,4283,7819,3717,9896,11774,2815,97176
E14001068,Ashfield,51474,1059,6085,4614,10094,3379,4090,12653,1573,95021
E14001069,Ashford,54578,1228,3485,5350,10573,4717,8174,16688,2023,106816
E14001070,Ashton-under-Lyne,55332,652,4324,3977,9986,4115,6789,13229,1636,100040
E14001071,Aylesbury,53627,1099,3885,4996,10264,5986,9317,17763,2527,109464
E14001072,Banbury,49800,1307,6018,4005,10908,5074,8352,13552,2676,101692
E14001073,Barking,76027,478,1746,7689,11559,6706,10155,17395,2060,133815
E14001074,Barnsley North,56376,912,5231,5416,11099,3904,5217,14629,1716,104500
E14001075,Barnsley South,57998,887,5133,5837,11704,4022,4983,12726,1575,104865
E14001076,Barrow and Furness,52294,2648,7209,3814,8491,2242,4099,14954,1674,97425
E14001077,Basildon and Billericay,57650,789,3004,6254,9403,5172,10709,13242,1879,108102
E14001078,Basingstoke,51845,1198,4071,4766,12142,8456,10023,15174,2352,110027
E14001079,Bassetlaw,55639,1366,6050,4684,11660,3936,4998,13969,1901,104203
E14001080,Bath,56749,741,1682,2588,8784,4241,9086,15959,2581,102411
E14001081,Battersea,43023,600,1828,2742,9734,7983,23792,15236,3961,108899
E14001082,Beaconsfield,49519,828,3372,4293,7703,6874,10021,11541,2325,96476
E14001083,Beckenham and Penge,51688,422,1322,4024,7529,6321,15041,17246,3555,107148
E14001084,Bedford,57034,701,3730,4552,12441,5648,7784,16224,1851,109965
E14001085,Bermondsey and Old Southwark,46220,504,1367,2592,9240,7816,20719,15102,3599,107159
E14001086,Bethnal Green and Stepney,67787,304,1332,1689,12354,8079,16642,15183,3389,126759
E14001087,Beverley and Holderness,48777,2065,3713,4044,7290,2624,4832,14382,1777,89504
E14001088,Bexhill and Battle,52489,1032,1681,4222,6737,2289,6895,11833,1931,89109
E14001089,Bexleyheath and Crayford,51375,650,1788,5668,8371,5087,9779,13944,2003,98665
E14001090,Bicester and Woodstock,47352,1218,4169,4446,10626,5276,8480,16839,2754,101160
E14001091,Birkenhead,60358,731,3780,3412,8889,3127,6724,16520,1949,105490
E14001092,Birmingham Edgbaston,64076,453,2779,2425,7890,3682,7326,17941,1770,108342
E14001093,Birmingham Erdington,71849,602,5001,3917,11254,5292,6669,15306,1832,121722
E14001094,Birmingham Hall Green and Moseley,74171,504,2916,2314,9170,4669,7025,15039,1490,117298
E14001095,Birmingham Hodge Hill and Solihull North,78585,534,4666,3079,10039,5225,5923,13087,1158,122296
E14001096,Birmingham Ladywood,99325,513,3275,2189,12596,6446,9634,15907,1980,151865
E14001097,Birmingham Northfield,63012,596,3484,3658,8403,3342,6092,17406,1795,107788
E14001098,Birmingham Perry Barr,77861,407,3558,2551,10174,5273,6541,14128,1368,121861
E14001099,Birmingham Selly Oak,65309,520,2923,2936,7706,3264,6411,16808,2117,107994
E14001100,Birmingham Yardley,70857,544,3982,3058,9816,5002,6055,12920,1282,113516
E14001101,Bishop Auckland,52975,1935,4418,4296,7661,2468,4353,12482,1697,92285
E14001102,Blackburn,69394,425,5181,2454,10419,3564,5017,14852,1104,112410
E14001103,Blackley and Middleton South,66409,460,2561,3597,10032,4336,7109,14536,1704,110744
E14001104,Blackpool North and Fleetwood,55334,788,2931,3605,8350,2427,4512,15274,1786,95007
E14001105,Blackpool South,63567,568,3109,3520,12294,2750,4956,16284,2381,109429
E14001106,Blaydon and Consett,49478,935,4068,3844,8153,3347,5371,14578,1753,91527
E14001107,Blyth and Ashington,57858,1307,3869,4068,8243,3150,4983,16237,1819,101534
E14001108,Bognor Regis and Littlehampton,59696,1296,4055,4738,11040,3449,6758,13847,2180,107059
E14001109,Bolsover,52975,1199,5675,4694,11402,3914,4815,13730,1759,100163
E14001110,Bolton North East,66374,913,4029,4345,10848,4053,7011,14499,1846,113918
E14001111,Bolton South and Walkden,74209,894,3889,4082,12347,5248,7033,14238,1596,123536
E14001112,Bolton West,52370,982,3768,4230,9412,3637,7511,14464,1896,98270
E14001113,Bootle,56175,647,2652,3797,9467,3995,6476,16306,1867,101382
E14001114,Boston and Skegness,65733,3021,6566,3772,13350,2963,6058,12546,2180,116189
E14001115,Bournemouth East,55119,553,2848,4165,10767,4135,10448,16542,2361,106938
E14001116,Bournemouth West,57990,619,3116,4143,11482,4239,9375,13973,2284,107221
E14001117,Bracknell,47315,968,3141,4655,10773,8317,9349,14833,2428,101779
E14001118,Bradford East,75257,602,4056,2561,11441,4523,6379,12876,1294,118989
E14001119,Bradford South,63731,1064,4598,3656,10390,4059,6557,13706,1501,109262
E14001120,Bradford West,78996,501,3608,1914,10938,4560,6106,13560,1172,121355
E14001121,Braintree,52886,1262,3888,6747,10006,4739,8691,13787,2129,104135
E14001122,Brent East,73726,446,1859,6647,13551,7081,12208,15507,3486,134511
E14001123,Brent West,69180,465,4351,7601,15963,7626,11988,14108,2391,133673
E14001124,Brentford and Isleworth,65392,520,2255,5261,12573,11543,12339,15548,3296,128727
E14001125,Brentwood and Ongar,50339,803,2142,5849,6921,4557,13184,12037,2284,98116
E14001126,Bridgwater,52337,2352,4323,5894,11077,3580,5492,12461,1687,99203
E14001127,Bridlington and The Wolds,54236,2439,3481,3829,9020,2084,4178,11620,1713,92600
E14001128,Brigg and Immingham,49186,1840,5396,3868,8389,4081,4604,12041,1542,90947
E14001129,Brighton Kemptown and Peacehaven,51903,615,1329,3797,8591,4073,7507,14872,2691,95378
E14001130,Brighton Pavilion,50438,644,1754,3183,9568,5409,10661,17646,3719,103022
E14001131,Bristol Central,44758,740,1896,1803,7593,5648,11455,17237,2514,93644
E14001132,Bristol East,52926,931,2811,4710,10914,6380,10752,17936,2698,110058
E14001133,Bristol North East,49975,611,2768,4504,9731,4843,8000,16386,1934,98752
E14001134,Bristol North West,57492,795,2969,3158,9581,5464,9627,18074,2037,109197
E14001135,Bristol South,50089,1095,2929,5303,10333,5510,10548,15810,2479,104096
E14001136,Broadland and Fakenham,49815,1857,3206,4724,8592,2763,7519,12706,2142,93324
E14001137,Bromley and Biggin Hill,48983,391,1329,4665,6726,4966,13049,14703,2744,97556
E14001138,Bromsgrove,51896,1011,4143,4602,7904,3337,8577,15674,2038,99182
E14001139,Broxbourne,55601,842,2814,6621,11298,5361,10081,13267,2509,108394
E14001140,Broxtowe,50540,722,4008,3644,8737,4018,5701,15449,1727,94546
E14001141,Buckingham and Bletchley,54036,1081,3736,4062,10892,6348,9240,13878,2361,105634
E14001142,Burnley,63996,553,6472,3425,10968,3410,5271,13906,1554,109555
E14001143,Burton and Uttoxeter,58633,1315,7589,4488,12761,5622,6042,13900,2181,112531
E14001144,Bury North,57050,756,3845,3733,9735,3966,7075,15222,1776,103158
E14001145,Bury South,57924,534,2913,3644,10072,4079,9069,16450,2046,106731
E14001146,Bury St Edmunds and Stowmarket,51585,1603,4212,4533,9691,3840,7187,16545,2372,101568
E14001147,Calder Valley,51796,929,4425,4335,8782,3170,7983,15292,2335,99047
E14001148,Camborne and Redruth,54821,1439,2860,4919,10471,2531,5447,14487,2119,99094
E14001149,Cambridge,64083,512,3268,2058,8460,7632,12457,23022,2591,124083
E14001150,Cannock Chase,51642,1206,5300,6494,11310,4137,5355,13247,1828,100519
E14001151,Canterbury,62968,807,1975,3463,9184,3242,6619,16845,2168,107271
E14001152,Carlisle,53272,2046,5105,4230,11579,4398,5399,14688,1946,102663
E14001153,Carshalton and Wallington,53356,522,1533,5522,8698,5752,10089,17197,2345,105014
E14001154,Castle Point,49618,776,2556,6079,7677,3871,8491,10576,1907,91551
E14001155,Central Devon,48959,3159,2974,4388,8622,2906,6485,13395,2274,93162
E14001156,Central Suffolk and North Ipswich,49018,1762,2594,4534,8401,4863,7533,13410,2048,94163
E14001157,Chatham and Aylesford,55148,1287,3069,6714,10042,4772,8006,14768,2053,105859
E14001158,Cheadle,50565,485,2660,3077,7819,4422,9881,14614,1956,95479
E14001159,Chelmsford,52501,643,2617,4943,9344,5276,12510,17060,2314,107208
E14001160,Chelsea and Fulham,55648,694,1908,2346,9877,6967,23770,13797,4513,119520
E14001161,Cheltenham,49950,840,3528,3323,9524,4130,9422,17205,2273,100195
E14001162,Chesham and Amersham,52044,707,2663,3924,7432,5904,11307,12504,2576,99061
E14001163,Chester North and Neston,50365,792,3609,2623,9724,3480,7960,13569,2083,94205
E14001164,Chester South and Eddisbury,49789,2321,3816,3202,8135,3447,9021,12012,2091,93834
E14001165,Chesterfield,50448,839,3793,3873,9497,3786,4960,14361,1684,93241
E14001166,Chichester,56828,1183,3435,4081,9805,3177,7391,15642,2605,104147
E14001167,Chingford and Woodford Green,57441,469,1564,6033,8629,5740,12771,15707,2651,111005
E14001168,Chippenham,48045,1473,4185,3938,8665,4803,8258,16453,2124,97944
E14001169,Chipping Barnet,59041,433,1657,4675,8412,5760,13573,16344,3004,112899
E14001170,Chorley,51252,1093,4367,4640,9803,3816,7174,16680,2100,100925
E14001171,Christchurch,52022,625,2412,3731,7560,2846,6638,10451,1783,88068
E14001172,Cities of London and Westminster,58077,689,1636,1925,9340,6682,24402,12252,4976,119979
E14001173,City of Durham,61241,1044,2659,3164,7229,2473,4669,16425,1777,100681
E14001174,Clacton,62248,966,1823,4488,8141,2920,4703,11232,1669,98190
E14001175,Clapham and Brixton Hill,40402,456,1471,2717,9554,7959,21802,16525,4103,104989
E14001176,Colchester,58727,732,2363,4996,10581,4849,9421,20465,2191,114325
E14001177,Colne Valley,48160,863,4670,4150,8030,3024,6862,15242,2049,93050
E14001178,Congleton,47052,1294,4237,3420,7970,3917,7923,11928,2130,89871
E14001179,Corby and East Northamptonshire,58090,1242,8076,4931,14937,6081,7228,13929,2077,116591
E14001180,Coventry East,67112,948,5461,3174,11608,6561,6243,15729,1449,118285
E14001181,Coventry North West,57685,1273,5457,3530,10052,5370,6724,15376,1823,107290
E14001182,Coventry South,70384,995,4887,2599,10257,5976,7066,15819,1769,119752
E14001183,Cramlington and Killingworth,50893,1141,3582,3800,8451,4144,6524,16193,1829,96557
E14001184,Crawley,59592,1009,3239,4552,13158,10145,10416,14221,2161,118493
E14001185,Crewe and Nantwich,55883,1050,6302,3197,12408,6389,7688,14605,1982,109504
E14001186,Croydon East,57705,485,1468,5013,9061,5691,10357,17537,2534,109851
E14001187,Croydon South,50999,534,1379,4275,7331,5683,13273,15218,2347,101039
E14001188,Croydon West,63620,373,1470,4686,12210,6792,11588,19109,2654,122502
E14001189,Dagenham and Rainham,65543,645,1846,7557,9955,6089,9547,16087,1930,119199
E14001190,Darlington,53013,738,3829,3358,9886,4505,5762,14640,1618,97349
E14001191,Dartford,53825,906,2520,6455,10451,6310,10514,15666,2194,108841
E14001192,Daventry,52569,1653,5315,4954,10972,5625,8791,13059,2443,105381
E14001193,Derby North,55237,840,5599,3228,10094,4724,5596,16036,1881,103235
E14001194,Derby South,68909,851,6653,3199,11562,6232,5807,13838,1466,118517
E14001195,Derbyshire Dales,46981,2478,4284,3849,7997,3127,5898,12597,2120,89331
E14001196,Dewsbury and Batley,62032,599,6319,2830,9961,3995,5275,11580,1182,103773
E14001197,Didcot and Wantage,49895,1733,3900,4719,9275,6191,11673,16260,2572,106218
E14001198,Doncaster Central,61257,840,4705,4504,13787,6156,5593,13580,1718,112140
E14001199,Doncaster East and the Isle of Axholme,51507,1503,4013,4686,9437,3933,4750,12335,1513,93677
E14001200,Doncaster North,53881,1060,3573,5028,10764,4217,4645,12022,1522,96712
E14001201,Dorking and Horley,47504,1077,2098,4728,7138,4872,11072,12822,2504,93815
E14001202,Dover and Deal,58045,1014,2316,4363,8389,4614,6158,16112,2062,103073
E14001203,Droitwich and Evesham,52503,1991,5391,4367,10707,3738,7943,13166,2179,101985
E14001204,Dudley,57231,877,5352,4676,9082,3339,4976,13894,1550,100977
E14001205,Dulwich and West Norwood,49903,331,1171,2662,7964,6718,15910,18159,4281,107099
E14001206,Dunstable and Leighton Buzzard,52958,676,4378,6041,11897,6133,8628,14733,2536,107980
E14001207,Ealing Central and Acton,64751,588,2774,4374,12652,9686,16396,16610,4595,132426
E14001208,Ealing North,68369,485,2603,7261,12060,8240,10858,15163,2717,127756
E14001209,Ealing Southall,68523,344,2901,4507,12544,9089,10959,13391,2644,124902
E14001210,Earley and Woodley,53523,1238,2789,3837,8981,9560,9388,14377,2021,105714
E14001211,Easington,54885,1362,4887,3296,7481,2760,4420,12767,1318,93176
E14001212,East Grinstead and Uckfield,48066,1099,2485,4767,8014,4657,10299,13459,2762,95608
E14001213,East Ham,77653,220,1448,5819,14203,6546,9644,13585,1917,131035
E14001214,East Hampshire,46920,1275,2947,3918,7042,4399,8794,13204,2359,90858
E14001215,East Surrey,50916,861,1939,5363,7204,4673,11991,13720,2497,99164
E14001216,East Thanet,60977,759,2767,4447,9350,3326,5959,15059,2428,105072
E14001217,East Wiltshire,50050,1619,2835,3757,8118,3759,8225,20560,2248,101171
E14001218,East Worthing and Shoreham,52118,1077,2929,4986,8724,3983,8067,15325,2414,99623
E14001219,Eastbourne,57855,514,1926,4175,9955,2974,6018,16236,2033,101686
E14001220,Eastleigh,46064,769,2967,4657,8368,5177,8199,15415,1938,93554
E14001221,Edmonton and Winchmore Hill,73587,433,1691,5242,11740,5307,10386,15976,2447,126809
E14001222,Ellesmere Port and Bromborough,50239,1095,5068,3435,9996,3216,6733,13439,1924,95145
E14001223,Eltham and Chislehurst,58387,511,1387,5170,8163,5318,13486,15025,2974,110421
E14001224,Ely and East Cambridgeshire,51388,1992,4627,5006,8457,5755,9608,15862,2774,105469
E14001225,Enfield North,73288,480,1903,4938,11777,5542,9585,17097,2768,127378
E14001226,Epping Forest,52465,671,1940,6098,8260,4728,13117,12732,2602,102613
E14001227,Epsom and Ewell,54934,722,1826,4563,8034,5722,12798,16431,2831,107861
E14001228,Erewash,48489,855,5912,4487,10480,4619,5597,12955,1779,95173
E14001229,Erith and Thamesmead,73512,480,2006,6094,12380,6582,11266,19850,2799,134969
E14001230,Esher and Walton,52399,776,2173,3428,7246,6482,14140,13113,3172,102929
E14001231,Exeter,56526,978,1825,3277,9451,3554,6592,17438,2057,101698
E14001232,Exmouth and Exeter East,52400,1712,2065,4280,9469,3492,7389,16920,2203,99930
E14001233,Fareham and Waterlooville,51250,1079,3747,5216,8404,4223,7148,15715,2027,98809
E14001234,Farnham and Bordon,51452,870,2706,4223,7744,5443,11295,13787,2676,100196
E14001235,Faversham and Mid Kent,52134,1599,2768,5921,8961,4042,7951,13674,2023,99073
E14001236,Feltham and Heston,71755,519,2297,5341,14941,12312,10233,13599,2156,133153
E14001237,Filton and Bradley Stoke,51525,812,3993,4478,10289,6408,10218,17638,1980,107341
E14001238,Finchley and Golders Green,65987,371,1641,4249,10436,6233,16482,16726,4003,126128
E14001239,Folkestone and Hythe,52337,1287,1604,4305,7960,3410,6413,12672,1845,91833
E14001240,Forest of Dean,49445,1849,4297,4635,7783,3044,6121,12479,1907,91560
E14001241,Frome and East Somerset,46938,1860,3912,4687,8765,3368,6990,13120,2506,92146
E14001242,Fylde,53751,995,3772,3200,8102,2562,6345,15529,2020,96276
E14001243,Gainsborough,53017,2751,3947,4022,7833,2782,4792,14269,1741,95154
E14001244,Gateshead Central and Whickham,53878,758,3431,3080,9007,3948,6771,15321,1787,97981
E14001245,Gedling,52439,988,3342,4895,9653,3996,6562,17126,2077,101078
E14001246,Gillingham and Rainham,54384,1010,2893,5786,9543,4515,7637,14751,1794,102313
E14001247,Glastonbury and Somerton,49330,2015,3878,4111,9204,2683,5654,12844,2244,91963
E14001248,Gloucester,58900,1310,5314,5117,12471,4877,8214,18218,1991,116412
E14001249,Godalming and Ash,49453,883,2081,3964,7143,5021,11410,13721,2804,96480
E14001250,Goole and Pocklington,53173,2645,5583,4385,10075,4184,6561,14761,2037,103404
E14001251,Gorton and Denton,67817,550,2822,3176,10849,4978,7640,13977,1880,113689
E14001252,Gosport,51506,705,3198,4305,8294,3621,5588,17249,1801,96267
E14001253,Grantham and Bourne,52313,1843,4784,4249,9987,3581,6386,13684,2029,98856
E14001254,Gravesham,57139,960,2878,6803,10097,5193,8466,13405,1959,106900
E14001255,Great Grimsby and Cleethorpes,61484,1067,6783,3628,11376,4145,4910,12392,1646,107431
E14001256,Great Yarmouth,58609,1955,3679,3587,10305,2451,4816,12433,1913,99748
E14001257,Greenwich and Woolwich,53983,519,1410,3606,9933,7943,19024,17246,3791,117455
E14001258,Guildford,53409,693,2187,3508,7971,5503,10738,14956,2771,101736
E14001259,Hackney North and Stoke Newington,59364,342,1706,2357,8976,6838,14679,17367,4639,116268
E14001260,Hackney South and Shoreditch,51496,342,1844,2227,9879,8186,18415,15084,5083,112556
E14001261,Halesowen,52115,588,4625,4153,8713,3518,5739,13538,1748,94737
E14001262,Halifax,61454,771,4714,4017,9374,3503,8015,13976,1760,107584
E14001263,Hamble Valley,49956,956,3830,5047,8972,5658,9371,16130,2451,102371
E14001264,Hammersmith and Chiswick,54658,584,2177,2647,10637,8743,17322,14883,4578,116229
E14001265,Hampstead and Highgate,55106,442,1587,2155,8268,8029,21085,15381,4828,116881
E14001266,"Harborough, Oadby and Wigston",54142,930,4145,3731,9764,3480,7591,15657,1965,101405
E14001267,Harlow,56167,913,4103,6551,11898,5489,8449,15306,2244,111120
E14001268,Harpenden and Berkhamsted,49621,736,2229,3341,6916,5297,12153,12170,2674,95137
E14001269,Harrogate and Knaresborough,51393,978,3072,3581,10643,3689,9993,15371,2462,101182
E14001270,Harrow East,61530,387,1988,9450,11189,5982,12247,13460,2075,118308
E14001271,Harrow West,62843,429,2203,6571,11281,7810,12282,15712,2256,121387
E14001272,Hartlepool,54589,1607,3873,3809,7579,2289,4503,12749,1340,92338
E14001273,Harwich and North Essex,54156,1106,2534,4891,8183,3937,7465,13771,2061,98104
E14001274,Hastings and Rye,58335,762,2427,5028,9493,3163,6892,16048,2669,104817
E14001275,Havant,52306,1148,3511,5274,8628,3417,5766,13113,1842,95005
E14001276,Hayes and Harlington,69786,445,2790,5556,13562,10553,8792,13248,1672,126404
E14001277,Hazel Grove,50545,732,3371,3886,8015,3823,8104,13959,2015,94450
E14001278,Hemel Hempstead,51627,663,2815,5848,11090,6388,8849,13550,2466,103296
E14001279,Hendon,68041,398,1894,6879,12348,6526,14680,16871,3231,130868
E14001280,Henley and Thame,48284,1361,3160,3939,7344,5084,9944,13558,2565,95239
E14001281,Hereford and South Herefordshire,49936,2329,5491,4312,10067,2606,5864,13866,2011,96482
E14001282,Herne Bay and Sandwich,56157,1053,2277,4818,8445,3079,6055,14972,2150,99006
E14001283,Hertford and Stortford,51016,669,3907,5011,9521,6117,12514,14478,2466,105699
E14001284,Hertsmere,54398,639,1909,5191,8962,5391,12441,14284,2693,105908
E14001285,Hexham,50307,2555,2720,3244,7414,3036,6904,13777,2115,92072
E14001286,Heywood and Middleton North,56524,607,3632,4106,10125,4042,5843,13621,1669,100169
E14001287,High Peak,46319,1422,4838,3963,8327,3503,6762,13733,2066,90933
E14001288,Hinckley and Bosworth,49748,2144,5413,4674,10557,4655,6481,12767,2106,98545
E14001289,Hitchin,47267,885,3915,4702,8729,4895,10003,15745,2574,98715
E14001290,Holborn and St Pancras,58014,301,1081,1671,7904,6353,13284,13447,3965,106020
E14001291,Honiton and Sidmouth,51882,2274,2418,3839,8976,2668,6043,11524,2044,91668
E14001292,Hornchurch and Upminster,56979,620,1953,6632,7671,5018,12199,14354,2085,107511
E14001293,Hornsey and Friern Barnet,47360,347,1519,2970,8196,7020,14596,16013,5081,103102
E14001294,Horsham,51015,1237,3301,4379,8948,6478,11471,14277,2776,103882
E14001295,Houghton and Sunderland South,56980,1560,4565,3963,8309,3332,5774,14282,1676,100441
E14001296,Hove and Portslade,47946,686,1907,3501,9452,5667,11678,17141,3559,101537
E14001297,Huddersfield,66667,582,4925,3183,10731,3604,6253,14445,1653,112043
E14001298,Huntingdon,53433,1567,5640,4442,9665,5136,8825,16944,2356,108008
E14001299,Hyndburn,53137,629,5326,3564,9195,3168,4463,13038,1505,94025
E14001300,Ilford North,64189,276,1622,6463,10500,6896,12350,15236,1949,119481
E14001301,Ilford South,75850,277,1567,6102,11790,7613,10543,15266,1661,130669
E14001302,Ipswich,59516,1272,3230,4630,11659,6903,8897,16524,2189,114820
E14001303,Isle of Wight East,42039,585,1858,2613,6854,1644,3519,8975,1539,69626
E14001304,Isle of Wight West,40510,834,2446,2784,6522,1863,3802,10407,1666,70834
E14001305,Islington North,50477,400,1474,2247,8665,8469,16688,16498,4911,109829
E14001306,Islington South and Finsbury,54967,421,1609,2338,8518,8770,20820,14221,4292,115956
E14001307,Jarrow and Gateshead East,53214,996,4004,3659,7736,3509,5150,14143,1434,93845
E14001308,Keighley and Ilkley,55720,692,4372,3704,8919,3400,6915,13849,1806,99377
E14001309,Kenilworth and Southam,48433,1910,4749,3357,7401,3802,8335,13382,2299,93668
E14001310,Kensington and Bayswater,66655,597,2068,2134,10737,7618,24906,12769,5381,132865
E14001311,Kettering,55733,918,5991,5387,12641,5151,7167,15528,2079,110595
E14001312,Kingston and Surbiton,56350,647,1901,4233,10514,7128,13541,17422,3381,115117
E14001313,Kingston upon Hull East,58873,1005,6372,4640,10353,3255,4572,12561,1627,103258
E14001314,Kingston upon Hull North and Cottingham,64393,1001,7762,4219,11648,3442,5502,15572,1961,115500
E14001315,Kingston upon Hull West and Haltemprice,55869,1054,6488,4642,10978,3425,5625,15099,1783,104963
E14001316,Kingswinford and South Staffordshire,47689,949,4102,4538,7501,2635,6094,13374,1653,88535
E14001317,Knowsley,52098,706,3271,3933,8713,3918,5504,13766,1690,93599
E14001318,Lancaster and Wyre,55039,1936,2472,3331,8100,2630,4920,16511,1894,96833
E14001319,Leeds Central and Headingley,63317,526,1617,1694,10462,3667,7872,14606,2601,106362
E14001320,Leeds East,64068,1044,3124,4376,9769,4677,8041,15611,1869,112579
E14001321,Leeds North East,50257,550,1870,2262,7730,4169,9297,17887,2158,96180
E14001322,Leeds North West,47866,678,2655,3387,7296,3747,9355,15605,2130,92719
E14001323,Leeds South,68701,853,4069,3968,12574,6234,10115,15749,2127,124390
E14001324,Leeds South West and Morley,47211,986,3949,4829,9733,4479,8579,13945,2010,95721
E14001325,Leeds West and Pudsey,51964,843,3844,3926,9771,4522,8731,14989,2141,100731
E14001326,Leicester East,71569,820,10940,2386,13331,4942,6468,13066,1133,124655
E14001327,Leicester South,72153,721,5504,1937,11098,4641,5960,15289,1496,118799
E14001328,Leicester West,69915,905,6251,3687,14143,5598,6281,16546,1788,125114
E14001329,Leigh and Atherton,57198,1085,4128,5875,11105,4274,7309,15162,2041,108177
E14001330,Lewes,53449,937,2004,4016,7355,3299,7157,14372,2505,95094
E14001331,Lewisham East,60354,348,1219,4352,10176,6135,12317,18517,3773,117191
E14001332,Lewisham North,53437,392,1468,3055,10459,7708,16477,18849,5281,117126
E14001333,Lewisham West and East Dulwich,45368,350,1249,2650,7319,6472,14202,17098,4888,99596
E14001334,Leyton and Wanstead,56873,374,1593,6241,10801,6622,14281,16950,3510,117245
E14001335,Lichfield,50473,1262,4316,4753,9421,3803,7017,13069,2084,96198
E14001336,Lincoln,63709,1660,4803,4391,12764,3822,5753,18361,2108,117371
E14001337,Liverpool Garston,52438,470,2986,2806,7934,3631,6601,15329,1909,94104
E14001338,Liverpool Riverside,71820,423,2176,2166,11935,4165,7139,15592,2322,117738
E14001339,Liverpool Walton,58052,623,2707,3692,9346,4034,5721,15881,1797,101853
E14001340,Liverpool Wavertree,58790,401,1918,2229,9168,3643,6876,17447,2271,102743
E14001341,Liverpool West Derby,54188,540,2418,3746,8866,3811,6047,15937,1742,97295
E14001342,Loughborough,57203,861,4362,3509,9439,3667,5667,13999,2017,100724
E14001343,Louth and Horncastle,57857,2759,3169,3466,8515,2134,4356,12399,1954,96609
E14001344,Lowestoft,55433,1848,3944,3803,9163,2379,4656,11619,1705,94550
E14001345,Luton North,65578,429,3574,4816,10664,6788,7187,15237,1484,115757
E14001346,Luton South and South Bedfordshire,68275,631,4258,5568,13033,8169,8282,13433,1851,123500
